project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Mortal Kombat 11,criticism-praise-developer-publisher,9,11,9754,20,23.28,23.91,81.67
Mortal Kombat 11,is-rating-game-related,17,3,10389,20,29.46,35.95,100.0
Mortal Kombat 11,criticism-praise-ideological,8,12,10389,20,29.46,35.95,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,7,13,10389,20,29.46,35.95,100.0
Mortal Kombat 11,criticism-praise-political,4,16,10389,20,29.46,35.95,100.0
Mortal Kombat 11,is-review-bombing,6,14,10389,20,29.46,35.95,100.0
Mortal Kombat 11,criticism-praise-game-content,18,2,10389,20,29.46,35.95,100.0
Mortal Kombat 11,is-review-bombing,13,8,11478,21,43.91,60.37,67.72
Mortal Kombat 11,criticism-praise-ideological,3,18,11478,21,43.91,60.37,67.72
Mortal Kombat 11,criticism-praise-political,4,17,11478,21,43.91,60.37,67.72
Mortal Kombat 11,is-rating-game-related,14,7,11478,21,43.91,60.37,67.72
Mortal Kombat 11,criticism-praise-developer-publisher,16,5,11478,21,43.91,60.37,67.72
Mortal Kombat 11,criticism-praise-game-content,16,5,11478,21,43.91,60.37,67.72
Mortal Kombat 11,criticism-praise-ideological,18,12,11790,30,36.67,46.99,71.48
Mortal Kombat 11,criticism-praise-developer-publisher,19,11,11790,30,36.67,46.99,71.48
Mortal Kombat 11,criticism-praise-political,2,28,11790,30,36.67,46.99,71.48
Mortal Kombat 11,criticism-praise-game-content,21,9,11790,30,36.67,46.99,71.48
Mortal Kombat 11,is-review-bombing,13,17,11790,30,36.67,46.99,71.48
Mortal Kombat 11,is-rating-game-related,28,2,11790,30,36.67,46.99,71.48
Mortal Kombat 11,is-rating-game-related,21,9,11926,30,39.73,55.9,71.48
Mortal Kombat 11,criticism-praise-ideological,10,20,11926,30,39.73,55.9,71.48
Mortal Kombat 11,is-review-bombing,9,21,11926,30,39.73,55.9,71.48
Mortal Kombat 11,criticism-praise-game-content,26,4,11926,30,39.73,55.9,71.48
Mortal Kombat 11,criticism-praise-political,5,25,11926,30,39.73,55.9,71.48
Mortal Kombat 11,criticism-praise-developer-publisher,6,24,11926,30,39.73,55.9,71.48
Mortal Kombat 11,criticism-praise-game-content,29,1,13430,30,17.26,27.44,70.0
Mortal Kombat 11,criticism-praise-ideological,19,11,13430,30,17.26,27.44,70.0
Mortal Kombat 11,criticism-praise-developer-publisher,11,19,13430,30,17.26,27.44,70.0
Mortal Kombat 11,is-review-bombing,23,7,13430,30,17.26,27.44,70.0
Mortal Kombat 11,criticism-praise-political,7,23,13430,30,17.26,27.44,70.0
Mortal Kombat 11,is-rating-game-related,17,13,13430,30,17.26,27.44,70.0
Mortal Kombat 11,criticism-praise-game-content,5,0,14445,5,40.44,39.39,77.78
Mortal Kombat 11,criticism-praise-developer-publisher,1,4,14445,5,40.44,39.39,77.78
Mortal Kombat 11,is-review-bombing,3,2,14445,5,40.44,39.39,77.78
Mortal Kombat 11,criticism-praise-political,0,5,14445,5,40.44,39.39,77.78
Mortal Kombat 11,criticism-praise-ideological,1,4,14445,5,40.44,39.39,77.78
Mortal Kombat 11,is-rating-game-related,4,1,14445,5,40.44,39.39,77.78
Mortal Kombat 11,is-review-bombing,30,30,15655,60,24.14,29.74,100.0
Mortal Kombat 11,criticism-praise-political,8,52,15655,60,24.14,29.74,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,16,44,15655,60,24.14,29.74,100.0
Mortal Kombat 11,criticism-praise-ideological,6,54,15655,60,24.14,29.74,100.0
Mortal Kombat 11,criticism-praise-game-content,57,3,15655,60,24.14,29.74,100.0
Mortal Kombat 11,is-rating-game-related,60,0,15655,60,24.14,29.74,100.0
Mortal Kombat 11,is-review-bombing,24,11,15657,35,19.57,38.48,83.81
Mortal Kombat 11,criticism-praise-ideological,19,16,15657,35,19.57,38.48,83.81
Mortal Kombat 11,criticism-praise-developer-publisher,8,27,15657,35,19.57,38.48,83.81
Mortal Kombat 11,is-rating-game-related,33,2,15657,35,19.57,38.48,83.81
Mortal Kombat 11,criticism-praise-political,9,26,15657,35,19.57,38.48,83.81
Mortal Kombat 11,criticism-praise-game-content,34,1,15657,35,19.57,38.48,83.81
Mortal Kombat 11,criticism-praise-developer-publisher,6,24,15710,30,34.81,48.34,68.89
Mortal Kombat 11,criticism-praise-ideological,17,13,15710,30,34.81,48.34,68.89
Mortal Kombat 11,is-review-bombing,18,12,15710,30,34.81,48.34,68.89
Mortal Kombat 11,criticism-praise-game-content,15,15,15710,30,34.81,48.34,68.89
Mortal Kombat 11,criticism-praise-political,3,27,15710,30,34.81,48.34,68.89
Mortal Kombat 11,is-rating-game-related,24,6,15710,30,34.81,48.34,68.89
Mortal Kombat 11,criticism-praise-ideological,9,21,16195,30,22.75,37.6,95.93
Mortal Kombat 11,is-review-bombing,11,19,16195,30,22.75,37.6,95.93
Mortal Kombat 11,criticism-praise-developer-publisher,17,13,16195,30,22.75,37.6,95.93
Mortal Kombat 11,is-rating-game-related,21,9,16195,30,22.75,37.6,95.93
Mortal Kombat 11,criticism-praise-game-content,25,5,16195,30,22.75,37.6,95.93
Mortal Kombat 11,criticism-praise-political,3,27,16195,30,22.75,37.6,95.93
Mortal Kombat 11,criticism-praise-game-content,10,5,17568,15,13.27,13.8,71.85
Mortal Kombat 11,criticism-praise-developer-publisher,7,8,17568,15,13.27,13.8,71.85
Mortal Kombat 11,criticism-praise-ideological,8,7,17568,15,13.27,13.8,71.85
Mortal Kombat 11,is-review-bombing,4,11,17568,15,13.27,13.8,71.85
Mortal Kombat 11,is-rating-game-related,11,4,17568,15,13.27,13.8,71.85
Mortal Kombat 11,criticism-praise-political,1,14,17568,15,13.27,13.8,71.85
Mortal Kombat 11,criticism-praise-developer-publisher,12,3,17629,15,31.56,36.02,73.33
Mortal Kombat 11,is-rating-game-related,13,2,17629,15,31.56,36.02,73.33
Mortal Kombat 11,criticism-praise-game-content,14,1,17629,15,31.56,36.02,73.33
Mortal Kombat 11,is-review-bombing,9,6,17629,15,31.56,36.02,73.33
Mortal Kombat 11,criticism-praise-ideological,15,0,17629,15,31.56,36.02,73.33
Mortal Kombat 11,criticism-praise-political,2,13,17629,15,31.56,36.02,73.33
Mortal Kombat 11,criticism-praise-game-content,32,3,17750,35,24.78,30.73,86.03
Mortal Kombat 11,criticism-praise-ideological,5,30,17750,35,24.78,30.73,86.03
Mortal Kombat 11,is-rating-game-related,26,9,17750,35,24.78,30.73,86.03
Mortal Kombat 11,criticism-praise-developer-publisher,25,10,17750,35,24.78,30.73,86.03
Mortal Kombat 11,criticism-praise-political,14,21,17750,35,24.78,30.73,86.03
Mortal Kombat 11,is-review-bombing,20,15,17750,35,24.78,30.73,86.03
Mortal Kombat 11,is-rating-game-related,9,0,17758,9,100.85,92.31,100.0
Mortal Kombat 11,criticism-praise-political,2,7,17758,9,100.85,92.31,100.0
Mortal Kombat 11,criticism-praise-ideological,9,0,17758,9,100.85,92.31,100.0
Mortal Kombat 11,is-review-bombing,6,3,17758,9,100.85,92.31,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,4,5,17758,9,100.85,92.31,100.0
Mortal Kombat 11,criticism-praise-game-content,9,0,17758,9,100.85,92.31,100.0
Mortal Kombat 11,is-review-bombing,9,21,17811,30,12.79,16.78,70.37
Mortal Kombat 11,criticism-praise-developer-publisher,16,14,17811,30,12.79,16.78,70.37
Mortal Kombat 11,criticism-praise-game-content,27,3,17811,30,12.79,16.78,70.37
Mortal Kombat 11,criticism-praise-political,8,22,17811,30,12.79,16.78,70.37
Mortal Kombat 11,criticism-praise-ideological,10,20,17811,30,12.79,16.78,70.37
Mortal Kombat 11,is-rating-game-related,27,3,17811,30,12.79,16.78,70.37
Mortal Kombat 11,criticism-praise-ideological,14,1,17911,15,42.63,50.31,100.0
Mortal Kombat 11,is-review-bombing,12,3,17911,15,42.63,50.31,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,6,9,17911,15,42.63,50.31,100.0
Mortal Kombat 11,criticism-praise-game-content,15,0,17911,15,42.63,50.31,100.0
Mortal Kombat 11,criticism-praise-political,0,15,17911,15,42.63,50.31,100.0
Mortal Kombat 11,is-rating-game-related,15,0,17911,15,42.63,50.31,100.0
Mortal Kombat 11,criticism-praise-ideological,5,10,18232,15,33.14,55.17,71.85
Mortal Kombat 11,criticism-praise-political,2,13,18232,15,33.14,55.17,71.85
Mortal Kombat 11,criticism-praise-game-content,14,1,18232,15,33.14,55.17,71.85
Mortal Kombat 11,is-review-bombing,4,11,18232,15,33.14,55.17,71.85
Mortal Kombat 11,is-rating-game-related,14,1,18232,15,33.14,55.17,71.85
Mortal Kombat 11,criticism-praise-developer-publisher,5,10,18232,15,33.14,55.17,71.85
Mortal Kombat 11,criticism-praise-political,5,25,18236,30,31.9,40.67,75.56
Mortal Kombat 11,is-rating-game-related,20,10,18236,30,31.9,40.67,75.56
Mortal Kombat 11,criticism-praise-ideological,12,18,18236,30,31.9,40.67,75.56
Mortal Kombat 11,criticism-praise-game-content,25,5,18236,30,31.9,40.67,75.56
Mortal Kombat 11,criticism-praise-developer-publisher,23,7,18236,30,31.9,40.67,75.56
Mortal Kombat 11,is-review-bombing,11,19,18236,30,31.9,40.67,75.56
Mortal Kombat 11,criticism-praise-political,0,20,18248,20,27.38,34.14,79.44
Mortal Kombat 11,criticism-praise-developer-publisher,9,11,18248,20,27.38,34.14,79.44
Mortal Kombat 11,is-rating-game-related,19,1,18248,20,27.38,34.14,79.44
Mortal Kombat 11,criticism-praise-game-content,18,2,18248,20,27.38,34.14,79.44
Mortal Kombat 11,is-review-bombing,11,9,18248,20,27.38,34.14,79.44
Mortal Kombat 11,criticism-praise-ideological,4,16,18248,20,27.38,34.14,79.44
Mortal Kombat 11,is-review-bombing,7,8,18440,15,28.52,28.82,62.22
Mortal Kombat 11,is-rating-game-related,14,1,18440,15,28.52,28.82,62.22
Mortal Kombat 11,criticism-praise-game-content,14,1,18440,15,28.52,28.82,62.22
Mortal Kombat 11,criticism-praise-ideological,11,4,18440,15,28.52,28.82,62.22
Mortal Kombat 11,criticism-praise-developer-publisher,11,4,18440,15,28.52,28.82,62.22
Mortal Kombat 11,criticism-praise-political,3,12,18440,15,28.52,28.82,62.22
Mortal Kombat 11,is-rating-game-related,10,0,19069,10,42.42,45.64,84.44
Mortal Kombat 11,criticism-praise-game-content,10,0,19069,10,42.42,45.64,84.44
Mortal Kombat 11,criticism-praise-ideological,6,4,19069,10,42.42,45.64,84.44
Mortal Kombat 11,criticism-praise-political,3,7,19069,10,42.42,45.64,84.44
Mortal Kombat 11,is-review-bombing,6,4,19069,10,42.42,45.64,84.44
Mortal Kombat 11,criticism-praise-developer-publisher,7,3,19069,10,42.42,45.64,84.44
Mortal Kombat 11,is-rating-game-related,7,3,19146,10,43.46,47.4,66.67
Mortal Kombat 11,criticism-praise-game-content,6,4,19146,10,43.46,47.4,66.67
Mortal Kombat 11,criticism-praise-ideological,7,3,19146,10,43.46,47.4,66.67
Mortal Kombat 11,is-review-bombing,6,4,19146,10,43.46,47.4,66.67
Mortal Kombat 11,criticism-praise-political,1,9,19146,10,43.46,47.4,66.67
Mortal Kombat 11,criticism-praise-developer-publisher,4,6,19146,10,43.46,47.4,66.67
Mortal Kombat 11,criticism-praise-game-content,20,0,19561,20,26.23,32.73,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,13,7,19561,20,26.23,32.73,100.0
Mortal Kombat 11,is-rating-game-related,20,0,19561,20,26.23,32.73,100.0
Mortal Kombat 11,is-review-bombing,13,7,19561,20,26.23,32.73,100.0
Mortal Kombat 11,criticism-praise-ideological,7,13,19561,20,26.23,32.73,100.0
Mortal Kombat 11,criticism-praise-political,3,17,19561,20,26.23,32.73,100.0
