project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Firewatch,91871444,Firewatch,"The only thing going for this game is the beautiful art style.
The world is quite empty in comparison to many walking sims that take place in much smaller gameworlds.
The story doesn't go anywhere.
And the poor business practices hurting the industry.",15.11.2017,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Metacritic,3.0,"[  101  1996  2069  2518  2183  2005  2023  2208  2003  1996  3376  2396
  2806  1012  1996  2088  2003  3243  4064  1999  7831  2000  2116  3788
 18135  2008  2202  2173  1999  2172  3760  2208 11108  2015  1012  1996
  2466  2987  1005  1056  2175  5973  1012  1998  1996  3532  2449  6078
 11878  1996  3068  1012   102]",103
Firewatch,91871445,Firewatch,Thin skinned Devs who abuse the DMCA. They'll get no further support from me.,19.09.2017 23:35:53,Nicht empfohlen,100.0,Ja,Ja,Nein,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  4857 19937 16475  2015  2040  6905  1996  1040 12458  2050  1012
  2027  1005  2222  2131  2053  2582  2490  2013  2033  1012   102]",43
Firewatch,91871446,Firewatch,"Dang it I can't return this garbage game made by a garbage human being. 


Seriously guys, the game sucks. Helllllllla boring. Go buy PUBG. Now that's a good game and guess what, it's still in early access. LMAO",15.09.2017 04:57:55,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Ja,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  4907  2290  2009  1045  2064  1005  1056  2709  2023 13044  2208
  2081  2011  1037 13044  2529  2108  1012  5667  4364  1010  1996  2208
 19237  1012  3109  3363  3363  4571 11771  1012  2175  4965  9047  2290
  1012  2085  2008  1005  1055  1037  2204  2208  1998  3984  2054  1010
  2009  1005  1055  2145  1999  2220  3229  1012  1048  2863  2080   102]",116
Firewatch,91871447,Firewatch,"Protagonist is a filthy white heterosexual male!! A DICKBEARER! 0 tolerance! Shame on the developers

How am I supposed to play this fascist piece of pewdiepie? 

0/10",13.09.2017 11:27:34,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Ja,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101 10191  2003  1037 18294  2317 28229  3287   999   999  1037  5980
  4783 12069  2099   999  1014 13986   999  9467  2006  1996  9797  2129
  2572  1045  4011  2000  2377  2023 14870  3538  1997 29071 10265 14756
  1029  1014  1013  2184   102]",77
Firewatch,91871448,Firewatch,"Dont buy, not worth it",15.09.2017 08:23:40,Nicht empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,[ 101 2123 2102 4965 1010 2025 4276 2009  102],9
Firewatch,91871449,Firewatch,Meh game made by meh studio run by meh people,23.09.2017 12:32:57,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[ 101 2033 2232 2208 2081 2011 2033 2232 2996 2448 2011 2033 2232 2111
  102]",15
Firewatch,91871450,Firewatch,"I loved this game, but the developers have broken my heart.

I cannot support such downright scummy, hypocritical developers.

This review stays until a public apology is issued.",14.09.2017 22:46:58,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Ja,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  1045  3866  2023  2208  1010  2021  1996  9797  2031  3714  2026
  2540  1012  1045  3685  2490  2107  2091 15950  8040  2819  8029  1010
  1044 22571 10085 14778  7476  9797  1012  2023  3319 12237  2127  1037
  2270 12480  2003  3843  1012   102]",78
Firewatch,91871451,Firewatch,I liked the game. But its very linear. You will get the exact same experience as everyone else playing the game. And the dev is a SJW that I simply can not support,15.09.2017 10:43:57,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Ja,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  1045  4669  1996  2208  1012  2021  2049  2200  7399  1012  2017
  2097  2131  1996  6635  2168  3325  2004  3071  2842  2652  1996  2208
  1012  1998  1996 16475  2003  1037  1055  3501  2860  2008  1045  3432
  2064  2025  2490   102]",79
Firewatch,91871452,Firewatch,A small neatly packaged mediocre game with a casual story made by a childish devoloper who dmca's because someone let a word slip they didnt agree with. I wish i never supported this dev now.,15.09.2017 20:51:20,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  1037  2235 15981 21972 19960  3695 16748  2208  2007  1037 10017
  2466  2081  2011  1037 24282 16475 12898  4842  2040  1040 12458  2050
  1005  1055  2138  2619  2292  1037  2773  7540  2027  2134  2102  5993
  2007  1012  1045  4299  1045  2196  3569  2023 16475  2085  1012   102]",86
Firewatch,91871453,Firewatch,"Game is stink, Sean Vanaman more stinky. I'll be sure not to buy any more of their walking sims.",15.09.2017 09:07:48,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  2208  2003 27136  1010  5977  3158 23093  2062 27136  2100  1012
  1045  1005  2222  2022  2469  2025  2000  4965  2151  2062  1997  2037
  3788 18135  1012   102]",52
Firewatch,91871454,Firewatch,Walk around. Boring game shit devs.,12.09.2017 22:52:47,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,[  101  3328  2105  1012 11771  2208  4485 16475  2015  1012   102],20
Firewatch,91871455,Firewatch,"Shitty, pretentious game. Shitty, pretentious dev.  I've finished the game under 2 hours so I will be refunding it to hopefully take the money back from the dev.",16.09.2017 05:48:49,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101 28543  1010  3653  6528 20771  2208  1012 28543  1010  3653  6528
 20771 16475  1012  1045  1005  2310  2736  1996  2208  2104  1016  2847
  2061  1045  2097  2022 25416  8630  2075  2009  2000 11504  2202  1996
  2769  2067  2013  1996 16475  1012   102]",78
Firewatch,91871456,Firewatch,"never finished this piece of trash , speaking of trash these developers are clowns and I won't be buying anymore of their content in fear proceeds will be used to push the leftist agenda... I hope your twitter comment was worth it idiot.",15.09.2017 06:36:39,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Ja,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  2196  2736  2023  3538  1997 11669  1010  4092  1997 11669  2122
  9797  2024 15912  2015  1998  1045  2180  1005  1056  2022  9343  4902
  1997  2037  4180  1999  3571 10951  2097  2022  2109  2000  5245  1996
 24247 11376  1012  1012  1012  1045  3246  2115 10474  7615  2001  4276
  2009 10041  1012   102]",96
Firewatch,91871457,Firewatch,Yeah this game is not worth $20 and I regret buying it.,15.09.2017 08:51:30,Nicht empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[ 101 3398 2023 2208 2003 2025 4276 1002 2322 1998 1045 9038 9343 2009
 1012  102]",16
