project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,num_annotators,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Skyrim - Paid Mods,91872610,The Elder Scrolls V: Skyrim,"Great game, but I can't recommend a game that has paid mods.",26.04.2015 04:31:25,Nicht empfohlen,100.0,1,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  2307  2208  1010  2021  1045  2064  1005  1056 16755  1037  2208
  2008  2038  3825 16913  2015  1012   102]",36
Skyrim - Paid Mods,91872611,The Elder Scrolls V: Skyrim,"Steam, Bethesda - you're making a huge mistake.",25.04.2015 23:56:13,Nicht empfohlen,100.0,1,Ja,Ja,Nein,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[ 101 5492 1010 7014 2229 2850 1011 2017 1005 2128 2437 1037 4121 6707
 1012  102]",16
Skyrim - Paid Mods,91872612,The Elder Scrolls V: Skyrim,"Now with 1,000,000% more paid DLC, first horse armor now this. Greedy company is, greedy. I wouldn't buy another game from them if they paid me to take it.",23.04.2015,Nicht empfohlen,100.0,1,Ja,Ja,Nein,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Metacritic,1.0,"[  101  2085  2007  1015  1010  2199  1010  2199  1003  2062  3825 21469
  2278  1010  2034  3586  8177  2085  2023  1012 20505  2194  2003  1010
 20505  1012  1045  2876  1005  1056  4965  2178  2208  2013  2068  2065
  2027  3825  2033  2000  2202  2009  1012   102]",85
Skyrim - Paid Mods,91872613,The Elder Scrolls V: Skyrim,"I just created an account to say that this game now **** with this greedy mod paywall.
Now you can pay 2€ for a mod that adds a **** sword, while the game itself could be bought for 5€.

Avoid it at all cost.",26.04.2015,Nicht empfohlen,100.0,1,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Metacritic,0.0,"[  101  1045  2074  2580  2019  4070  2000  2360  2008  2023  2208  2085
  1008  1008  1008  1008  2007  2023 20505 16913  3477  9628  1012  2085
  2017  2064  3477  1016 30102  2005  1037 16913  2008  9909  1037  1008
  1008  1008  1008  4690  1010  2096  1996  2208  2993  2071  2022  4149
  2005  1019 30102  1012  4468  2009  2012  2035  3465  1012   102]",113
Skyrim - Paid Mods,91872614,The Elder Scrolls V: Skyrim,holy crap he game sucks so much without mods,26.04.2015 22:06:54,Nicht empfohlen,100.0,1,Ja,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,[  101  4151 10231  2002  2208 19237  2061  2172  2302 16913  2015   102],21
Skyrim - Paid Mods,91872615,The Elder Scrolls V: Skyrim,"NEVER FORGET PAID MODS!

Fantastic game 10/10 would arrow guard in the knee again",24.04.2015 05:18:38,Nicht empfohlen,100.0,1,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  2196  5293  3825 16913  2015   999 10392  2208  2184  1013  2184
  2052  8612  3457  1999  1996  6181  2153   102]",39
Skyrim - Paid Mods,91872616,The Elder Scrolls V: Skyrim,"I would reccomend this game, however with the recent event of mods becoming paid DLC, I can't anymore, screw you bethesda and valve!",25.04.2015 05:12:01,Nicht empfohlen,100.0,1,Ja,Nein,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  1045  2052 28667  9006 10497  2023  2208  1010  2174  2007  1996
  3522  2724  1997 16913  2015  3352  3825 21469  2278  1010  1045  2064
  1005  1056  4902  1010 11224  2017  7014  2229  2850  1998 10764   999
   102]",69
Skyrim - Paid Mods,91872617,The Elder Scrolls V: Skyrim,The paid  mod workshop is ruining what made Skyrim great.,27.04.2015 02:16:09,Nicht empfohlen,100.0,1,Ja,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  1996  3825 16913  8395  2003 27853  2054  2081  3712 20026  2307
  1012   102]",25
Skyrim - Paid Mods,91872618,The Elder Scrolls V: Skyrim,"Skyrim, previously a decent yet somewhat soulless RPG game.  Now a cash grab that brings you an industry first, paid mods.  Are you kidding me?  On top of this, the creators have to give more money to Bethesda than they actually get, and even now there are disputes and ugly competition growing in the modding community about this.  Bethesda is ruining the modding community that kept their games alive all these years.  Good job.",27.04.2015,Nicht empfohlen,100.0,1,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Metacritic,0.0,"[  101  3712 20026  1010  3130  1037 11519  2664  5399  3969  3238 22531
  2208  1012  2085  1037  5356  6723  2008  7545  2017  2019  3068  2034
  1010  3825 16913  2015  1012  2024  2017 12489  2033  1029  2006  2327
  1997  2023  1010  1996 17277  2031  2000  2507  2062  2769  2000  7014
  2229  2850  2084  2027  2941  2131  1010  1998  2130  2085  2045  2024
 11936  1998  9200  2971  3652  1999  1996 16913  4667  2451  2055  2023
  1012  7014  2229  2850  2003 27853  1996 16913  4667  2451  2008  2921
  2037  2399  4142  2035  2122  2086  1012  2204  3105  1012   102]",180
Skyrim - Paid Mods,91872619,The Elder Scrolls V: Skyrim,I will not support any game that monetizes mods.,26.04.2015 06:38:03,Nicht empfohlen,100.0,1,Ja,Nein,Ja,Nein,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  1045  2097  2025  2490  2151  2208  2008 12256 20624 11254 16913
  2015  1012   102]",26
Skyrim - Paid Mods,91872620,The Elder Scrolls V: Skyrim,"After what Bethesda did to the modding community (allowed paid modding) on a game that was already stripped down and unfinished, I have to give a poor review in hopes that they remove this.",26.04.2015,Nicht empfohlen,100.0,1,Ja,Nein,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Metacritic,0.0,"[  101  2044  2054  7014  2229  2850  2106  2000  1996 16913  4667  2451
  1006  3039  3825 16913  4667  1007  2006  1037  2208  2008  2001  2525
 10040  2091  1998 14342  1010  1045  2031  2000  2507  1037  3532  3319
  1999  8069  2008  2027  6366  2023  1012   102]",84
Skyrim - Paid Mods,91872621,The Elder Scrolls V: Skyrim,Paid mods is bull. Loved the game but paying for mods? Wouldnt recomend anymore.,25.04.2015 23:42:42,Nicht empfohlen,100.0,1,Ja,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  3825 16913  2015  2003  7087  1012  3866  1996  2208  2021  7079
  2005 16913  2015  1029  2876  2102 28667  8462  4859  4902  1012   102]",45
Skyrim - Paid Mods,91872622,The Elder Scrolls V: Skyrim,"A fantastic game, but the paid mod policies are awful. The intention is good, but the execution is a mess.
I will not support Bethesda anymore until they change their policies regarding the MOD situation.",27.04.2015,Nicht empfohlen,100.0,1,Ja,Nein,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Metacritic,0.0,"[  101  1037 10392  2208  1010  2021  1996  3825 16913  6043  2024  9643
  1012  1996  6808  2003  2204  1010  2021  1996  7781  2003  1037  6752
  1012  1045  2097  2025  2490  7014  2229  2850  4902  2127  2027  2689
  2037  6043  4953  1996 16913  3663  1012   102]",85
Skyrim - Paid Mods,91872623,The Elder Scrolls V: Skyrim,Game is okay. Would not recommend purchasing.,24.04.2015 05:31:00,Nicht empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,[  101  2208  2003  3100  1012  2052  2025 16755 13131  1012   102],20
