project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,num_annotators,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Assassin's Creed Unity,91871045,Assassin's Creed Unity,Is good 👍,30.05.2019 21:56:27,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[ 101 2003 2204  100  102],6
Assassin's Creed Unity,91871046,Assassin's Creed Unity,Very huge open world-ish game. Loads of loot in every area im almost done with main story (only took me 7-8 hours of main quest) the rest of my hours were on upgrading cafe and looting the big areas and still im only 30% through the game and still have a long way to go (plan to 100%). Main story is ok i guess nothing crazy i bought the game to spend a lot of time doing side quest (i have a thing where i must 100% all games) and im very happy with the game till this point but one thing to note is this game is the few games i play with a controller (play lots of fps games too) and can say it feels a lot better then m and kb so if your in the market for a very large game with many hour of playing then this is for u but if your in for just the story this game will be very challenging and boring for u.(side missions are basically required unless u wanna play though out the game as a 2 star assassin),05.06.2019 22:35:04,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  2200  4121  2330  2088  1011  2003  2232  2208  1012 15665  1997
  8840  4140  1999  2296  2181 10047  2471  2589  2007  2364  2466  1006
  2069  2165  2033  1021  1011  1022  2847  1997  2364  8795  1007  1996
  2717  1997  2026  2847  2020  2006 25925  7668  1998 29367  1996  2502
  2752  1998  2145 10047  2069  2382  1003  2083  1996  2208  1998  2145
  2031  1037  2146  2126  2000  2175  1006  2933  2000  2531  1003  1007
  1012  2364  2466  2003  7929  1045  3984  2498  4689  1045  4149  1996
  2208  2000  5247  1037  2843  1997  2051  2725  2217  8795  1006  1045
  2031  1037  2518  2073  1045  2442  2531  1003  2035  2399  1007  1998
 10047  2200  3407  2007  1996  2208  6229  2023  2391  2021  2028  2518
  2000  3602  2003  2023  2208  2003  1996  2261  2399  1045  2377  2007
  1037 11486  1006  2377  7167  1997  1042  4523  2399  2205  1007  1998
  2064  2360  2009  5683  1037  2843  2488  2059  1049  1998 21677  2061
  2065  2115  1999  1996  3006  2005  1037  2200  2312  2208  2007  2116
  3178  1997  2652  2059  2023  2003  2005  1057  2021  2065  2115  1999
  2005  2074  1996  2466  2023  2208  2097  2022  2200 10368  1998 11771
  2005  1057  1012  1006  2217  6416  2024 10468  3223  4983  1057 10587
  2377  2295  2041  1996  2208  2004  1037  1016  2732 12025  1007   102]",419
Assassin's Creed Unity,91871047,Assassin's Creed Unity,It's just great. A solid game with a compelling story! :),29.05.2019 12:09:40,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  2009  1005  1055  2074  2307  1012  1037  5024  2208  2007  1037
 17075  2466   999  1024  1007   102]",36
Assassin's Creed Unity,91871048,Assassin's Creed Unity,It's an okay game.  Story and combat are decent.  Bugs are not as frequent as the memes may say.,02.07.2019 18:52:51,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  2009  1005  1055  2019  3100  2208  1012  2466  1998  4337  2024
 11519  1012 12883  2024  2025  2004  6976  2004  1996  2033  7834  2089
  2360  1012   102]",52
Assassin's Creed Unity,91871049,Assassin's Creed Unity,"Pro:
Unity and Rogue were released around the same time, and Unity seems better written with a more engaging game environment. For me, this makes it more fun to play.

Con:
- User interface is bad. 
- Unity's movement and responsiveness seem sluggish compared to previous AC games.
- In-game pushing of online play that I give zero $#!ts about.
- By this point, AC games were starting to feel like they were made by too many committees.",21.04.2019 19:44:29,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  4013  1024  8499  1998 12406  2020  2207  2105  1996  2168  2051
  1010  1998  8499  3849  2488  2517  2007  1037  2062 11973  2208  4044
  1012  2005  2033  1010  2023  3084  2009  2062  4569  2000  2377  1012
  9530  1024  1011  5310  8278  2003  2919  1012  1011  8499  1005  1055
  2929  1998 26651  2791  4025 23667 17701  2232  4102  2000  3025  9353
  2399  1012  1011  1999  1011  2208  6183  1997  3784  2377  2008  1045
  2507  5717  1002  1001   999 24529  2055  1012  1011  2011  2023  2391
  1010  9353  2399  2020  3225  2000  2514  2066  2027  2020  2081  2011
  2205  2116  9528  1012   102]",197
Assassin's Creed Unity,91871050,Assassin's Creed Unity,May God bless France,16.04.2019 19:23:42,Empfohlen,100.0,1,Ja,Nein,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101  2089  2643 19994  2605   102],11
Assassin's Creed Unity,91871051,Assassin's Creed Unity,I hope this game will be  able to help the repairation of  Notre-Dame de Paris..  Although its not a good game for everybody （seems like）but Ubisoft paid much efforts on this XD,16.04.2019 12:58:13,Empfohlen,100.0,1,Ja,Ja,Ja,Ja,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  1045  3246  2023  2208  2097  2022  2583  2000  2393  1996  7192
  3370  1997 10289  1011  8214  2139  3000  1012  1012  2348  2049  2025
  1037  2204  2208  2005  7955  1987  3849  2066  1988  2021  1057 18477
 15794  3825  2172  4073  2006  2023  1060  2094   102]",87
Assassin's Creed Unity,91871052,Assassin's Creed Unity,Notre Dame tour,20.04.2019 18:08:58,Empfohlen,100.0,1,Ja,Ja,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101 10289  8214  2778   102],9
Assassin's Creed Unity,91871053,Assassin's Creed Unity,not bad,17.04.2019 18:49:07,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[ 101 2025 2919  102],4
Assassin's Creed Unity,91871054,Assassin's Creed Unity,"Great game, and great devs for donating to Notre Dame's restoration.",21.04.2019 04:15:43,Empfohlen,100.0,1,Ja,Ja,Ja,Ja,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  2307  2208  1010  1998  2307 16475  2015  2005 24260  3436  2000
 10289  8214  1005  1055  6418  1012   102]",35
Assassin's Creed Unity,91871055,Assassin's Creed Unity,Was able to play with good frame rates with Ryzen 5 and GTX 970,29.06.2019 04:58:04,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  2001  2583  2000  2377  2007  2204  4853  6165  2007 29431 10431
  1019  1998 14181  2595  5989  2692   102]",35
Assassin's Creed Unity,91871056,Assassin's Creed Unity,"Easily the most underrated entry in the series, Unity deserves a second look. All the bugs that plagued the initial release have long been taken care of, and you won't find a better or more engaging recreation of a city than this depiction of Paris. It's my favourite game in the franchise, and I can't recommend it enough.",05.07.2019 00:18:35,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  4089  1996  2087  2104  9250  4443  1999  1996  2186  1010  8499
 17210  1037  2117  2298  1012  2035  1996 12883  2008 17808  1996  3988
  2713  2031  2146  2042  2579  2729  1997  1010  1998  2017  2180  1005
  1056  2424  1037  2488  2030  2062 11973  8640  1997  1037  2103  2084
  2023 15921  1997  3000  1012  2009  1005  1055  2026  8837  2208  1999
  1996  6329  1010  1998  1045  2064  1005  1056 16755  2009  2438  1012
   102]",140
Assassin's Creed Unity,91871057,Assassin's Creed Unity,Still buggy,29.06.2019 15:06:54,Empfohlen,100.0,1,Ja,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101  2145 11829  6292   102],9
Assassin's Creed Unity,91871058,Assassin's Creed Unity,"All I can say is that ubisoft never delivered the helix credits I purchased. When I asked ubisoft for a refund they said that they will not refund since I bought them via Steam and to ask Steam for a refund. Steam's website states:
""Refunds are not currently supported for in-game purchases in Assassin's Creed Unity. Check with the game publisher directly to see if they can provide you with a refund.""

Additionally the initial response from ubisoft in a help chat was to wait 24 hrs and to tell me that this is not an uncommon issue. If it is a known issue what has it not been fixed in the almost 5 years since the game was released?

All I can say is that I am displeased with ubisoft and disappointed with Steam.
",28.04.2019 08:16:53,Empfohlen,100.0,1,Nein,Ja,Ja,Ja,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  2035  1045  2064  2360  2003  2008  1057 18477 15794  2196  5359
  1996 25743  6495  1045  4156  1012  2043  1045  2356  1057 18477 15794
  2005  1037 25416  8630  2027  2056  2008  2027  2097  2025 25416  8630
  2144  1045  4149  2068  3081  5492  1998  2000  3198  5492  2005  1037
 25416  8630  1012  5492  1005  1055  4037  2163  1024  1000 25416 26698
  2024  2025  2747  3569  2005  1999  1011  2208 17402  1999 12025  1005
  1055 16438  8499  1012  4638  2007  1996  2208  6674  3495  2000  2156
  2065  2027  2064  3073  2017  2007  1037 25416  8630  1012  1000  5678
  1996  3988  3433  2013  1057 18477 15794  1999  1037  2393 11834  2001
  2000  3524  2484 17850  2015  1998  2000  2425  2033  2008  2023  2003
  2025  2019 13191  3277  1012  2065  2009  2003  1037  2124  3277  2054
  2038  2009  2025  2042  4964  1999  1996  2471  1019  2086  2144  1996
  2208  2001  2207  1029  2035  1045  2064  2360  2003  2008  1045  2572
  4487 13102 19738  6924  2007  1057 18477 15794  1998  9364  2007  5492
  1012   102]",317
Assassin's Creed Unity,91871059,Assassin's Creed Unity,Assassin's Creed Unity is currently free at Uplay from April 17th until April 25th,17.04.2019 17:17:06,Empfohlen,100.0,1,Ja,Ja,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101 12025  1005  1055 16438  8499  2003  2747  2489  2012  2039  8485
  2013  2258  5550  2127  2258 10965   102]",35
Assassin's Creed Unity,91871060,Assassin's Creed Unity,"Ignoring the glitches and bugs and average combat & stealth system, the game is amazing.
The story is great and relevant, and that is one of the many reasons I like Assassin's Creed games.

Highly recommended if you have the patience and a good enough PC to run this game. You need a lot of patience to play this game.",29.06.2019 16:41:16,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  9217  1996  1043 15909  8376  1998 12883  1998  2779  4337  1004
 22150  2291  1010  1996  2208  2003  6429  1012  1996  2466  2003  2307
  1998  7882  1010  1998  2008  2003  2028  1997  1996  2116  4436  1045
  2066 12025  1005  1055 16438  2399  1012  3811  6749  2065  2017  2031
  1996 11752  1998  1037  2204  2438  7473  2000  2448  2023  2208  1012
  2017  2342  1037  2843  1997 11752  2000  2377  2023  2208  1012   102]",137
Assassin's Creed Unity,91871061,Assassin's Creed Unity,Good game despite a couple of bugs,29.06.2019 21:41:46,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101  2204  2208  2750  1037  3232  1997 12883   102],17
Assassin's Creed Unity,91871062,Assassin's Creed Unity,nice graphics,01.07.2019 04:03:25,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[ 101 3835 8389  102],4
Assassin's Creed Unity,91871063,Assassin's Creed Unity,"1. one of the most aestheticially pleasing AC games
2. one with one of the most weapon varieties (of the old AC games not including the RPG ones)
3. some of the BEST parkour of all the AC games hands down
4. decent story, better than other AC games
5. ubi made it free after notre dame fire so people can truly appreciate it if they havent already
6. yeet",21.04.2019 05:12:21,Empfohlen,100.0,1,Ja,Ja,Ja,Ja,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  1015  1012  2028  1997  1996  2087 12465  4818  2135 24820  9353
  2399  1016  1012  2028  2007  2028  1997  1996  2087  5195  9903  1006
  1997  1996  2214  9353  2399  2025  2164  1996 22531  3924  1007  1017
  1012  2070  1997  1996  2190  2380  8162  1997  2035  1996  9353  2399
  2398  2091  1018  1012 11519  2466  1010  2488  2084  2060  9353  2399
  1019  1012  1057  5638  2081  2009  2489  2044 10289  8214  2543  2061
  2111  2064  5621  9120  2009  2065  2027  4033  2102  2525  1020  1012
  6300  3388   102]",169
Assassin's Creed Unity,91871064,Assassin's Creed Unity,Great game <3,30.05.2019 16:52:25,Empfohlen,100.0,1,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[ 101 2307 2208 1026 1017  102],6
