project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Mortal Kombat 11,criticism-praise-ideological,8,7,17568,15,13.8,74.44
Mortal Kombat 11,criticism-praise-developer-publisher,7,8,17568,15,13.8,74.44
Mortal Kombat 11,criticism-praise-ideological,15,0,17629,15,36.02,78.52
Mortal Kombat 11,criticism-praise-political,2,13,17629,15,36.02,78.52
Mortal Kombat 11,criticism-praise-developer-publisher,12,3,17629,15,36.02,78.52
Mortal Kombat 11,criticism-praise-game-content,14,1,17629,15,36.02,78.52
Mortal Kombat 11,is-review-bombing,9,6,17629,15,36.02,78.52
Mortal Kombat 11,is-rating-game-related,13,2,17629,15,36.02,78.52
Mortal Kombat 11,is-rating-game-related,25,10,17750,35,30.73,87.14
Mortal Kombat 11,criticism-praise-developer-publisher,28,7,17750,35,30.73,87.14
Mortal Kombat 11,criticism-praise-political,16,19,17750,35,30.73,87.14
Mortal Kombat 11,criticism-praise-ideological,4,31,17750,35,30.73,87.14
Mortal Kombat 11,criticism-praise-game-content,32,3,17750,35,30.73,87.14
Mortal Kombat 11,is-review-bombing,20,15,17750,35,30.73,87.14
Mortal Kombat 11,criticism-praise-ideological,10,0,17758,10,86.27,100.0
Mortal Kombat 11,criticism-praise-political,2,8,17758,10,86.27,100.0
Mortal Kombat 11,criticism-praise-game-content,10,0,17758,10,86.27,100.0
Mortal Kombat 11,is-review-bombing,7,3,17758,10,86.27,100.0
Mortal Kombat 11,is-rating-game-related,10,0,17758,10,86.27,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,4,6,17758,10,86.27,100.0
Mortal Kombat 11,criticism-praise-political,8,22,17811,30,16.78,78.33
Mortal Kombat 11,criticism-praise-ideological,10,20,17811,30,16.78,78.33
Mortal Kombat 11,criticism-praise-game-content,27,3,17811,30,16.78,78.33
Mortal Kombat 11,is-rating-game-related,26,4,17811,30,16.78,78.33
Mortal Kombat 11,is-review-bombing,7,23,17811,30,16.78,78.33
Mortal Kombat 11,criticism-praise-developer-publisher,16,14,17811,30,16.78,78.33
Mortal Kombat 11,criticism-praise-game-content,15,0,17911,15,50.31,100.0
Mortal Kombat 11,is-rating-game-related,15,0,17911,15,50.31,100.0
Mortal Kombat 11,criticism-praise-ideological,14,1,17911,15,50.31,100.0
Mortal Kombat 11,criticism-praise-political,0,15,17911,15,50.31,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,6,9,17911,15,50.31,100.0
Mortal Kombat 11,is-review-bombing,12,3,17911,15,50.31,100.0
Mortal Kombat 11,is-review-bombing,3,12,18232,15,55.17,74.44
Mortal Kombat 11,criticism-praise-political,3,12,18232,15,55.17,74.44
Mortal Kombat 11,criticism-praise-ideological,5,10,18232,15,55.17,74.44
Mortal Kombat 11,criticism-praise-developer-publisher,6,9,18232,15,55.17,74.44
Mortal Kombat 11,is-rating-game-related,14,1,18232,15,55.17,74.44
Mortal Kombat 11,criticism-praise-game-content,13,2,18232,15,55.17,74.44
Mortal Kombat 11,is-review-bombing,11,19,18236,30,40.67,78.15
Mortal Kombat 11,criticism-praise-political,5,25,18236,30,40.67,78.15
Mortal Kombat 11,criticism-praise-ideological,12,18,18236,30,40.67,78.15
Mortal Kombat 11,criticism-praise-game-content,25,5,18236,30,40.67,78.15
Mortal Kombat 11,criticism-praise-developer-publisher,24,6,18236,30,40.67,78.15
Mortal Kombat 11,is-rating-game-related,20,10,18236,30,40.67,78.15
Mortal Kombat 11,is-rating-game-related,20,0,18248,20,34.14,85.28
Mortal Kombat 11,is-review-bombing,11,9,18248,20,34.14,85.28
Mortal Kombat 11,criticism-praise-ideological,2,18,18248,20,34.14,85.28
Mortal Kombat 11,criticism-praise-game-content,20,0,18248,20,34.14,85.28
Mortal Kombat 11,criticism-praise-political,0,20,18248,20,34.14,85.28
Mortal Kombat 11,criticism-praise-developer-publisher,10,10,18248,20,34.14,85.28
Mortal Kombat 11,criticism-praise-game-content,15,0,18440,15,28.82,62.22
Mortal Kombat 11,criticism-praise-developer-publisher,11,4,18440,15,28.82,62.22
Mortal Kombat 11,is-rating-game-related,15,0,18440,15,28.82,62.22
Mortal Kombat 11,is-review-bombing,6,9,18440,15,28.82,62.22
Mortal Kombat 11,criticism-praise-ideological,15,0,18440,15,28.82,62.22
Mortal Kombat 11,criticism-praise-political,3,12,18440,15,28.82,62.22
