project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Ukraine-Russia-Support,91992388,GWENT: The Witcher Card Game,Great art and visual effects. Intuitive game play. Great tutorial to introduce into the game.,01.03.2022 09:08:55,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101  2307  2396  1998  5107  3896  1012 29202  2208  2377  1012  2307
 14924  4818  2000  8970  2046  1996  2208  1012   102]",40
Ukraine-Russia-Support,91992389,The Witcher 3: Wild Hunt,"This creation of the developers, who miraculously managed to make this ""masterpiece"", received the approval of the players only thanks to the world thought out for them and the characters that already existed. Disgusting combat system, mediocre graphics, a lot of problems on release. A strange exception from the whole range of those games that they made before and after (Cyberpunk confirms this)",08.03.2022,Nicht empfohlen,83.33333333333334,Nein,Ja,Ja,Ja,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Metacritic,3.0,"[  101  2023  4325  1997  1996  9797  1010  2040 26106  2135  3266  2000
  2191  2023  1000 17743  1000  1010  2363  1996  6226  1997  1996  2867
  2069  4283  2000  1996  2088  2245  2041  2005  2068  1998  1996  3494
  2008  2525  5839  1012 19424  4337  2291  1010 19960  3695 16748  8389
  1010  1037  2843  1997  3471  2006  2713  1012  1037  4326  6453  2013
  1996  2878  2846  1997  2216  2399  2008  2027  2081  2077  1998  2044
  1006 16941 14289  8950 23283  2023  1007   102]",152
Ukraine-Russia-Support,91992390,S.T.A.L.K.E.R.: Shadow of Chernobyl,"One of the best games i've ever played, even in 2022 is still amazing. 10/10",09.03.2022 03:55:18,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101  2028  1997  1996  2190  2399  1045  1005  2310  2412  2209  1010
  2130  1999 16798  2475  2003  2145  6429  1012  2184  1013  2184   102]",47
Ukraine-Russia-Support,91992391,The Witcher 3: Wild Hunt,because yes,15.03.2022 20:26:38,Empfohlen,66.66666666666666,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,[ 101 2138 2748  102],4
Ukraine-Russia-Support,91992392,Frostpunk,"this is probably the most immersed ill ever get in a management game. when every choice matters, the tension feels extremely high on every playthrough after the first.
This game's atmosphere and music are always fitting and incredible.
I can only imagine what plans 11bit has for the sequel.",09.03.2022 09:43:52,Empfohlen,83.33333333333334,Nein,Ja,Ja,Ja,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101  2023  2003  2763  1996  2087 26275  5665  2412  2131  1999  1037
  2968  2208  1012  2043  2296  3601  5609  1010  1996  6980  5683  5186
  2152  2006  2296  2377  2705 22494  5603  2044  1996  2034  1012  2023
  2208  1005  1055  7224  1998  2189  2024  2467 11414  1998  9788  1012
  1045  2064  2069  5674  2054  3488  2340 16313  2038  2005  1996  8297
  1012   102]",120
Ukraine-Russia-Support,91992393,The Witcher 3: Wild Hunt,be happy to be Mourners,05.03.2022 02:19:45,Nicht empfohlen,100.0,Ja,Nein,Nein,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,[  101  2022  3407  2000  2022  9587 21737  2869   102],17
Ukraine-Russia-Support,91992394,Cyberpunk 2077,It would be better to make the action before Cyberpunk release. Your involved in politics doesn't mean you've lost all the inspiration I hope.,03.03.2022,Nicht empfohlen,100.0,Ja,Nein,Nein,Nein,Nein,Ja,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Metacritic,1.0,"[  101  2009  2052  2022  2488  2000  2191  1996  2895  2077 16941 14289
  8950  2713  1012  2115  2920  1999  4331  2987  1005  1056  2812  2017
  1005  2310  2439  2035  1996  7780  1045  3246  1012   102]",66
Ukraine-Russia-Support,91992395,The Witcher Enhanced Edition,Scumbag move on CDPR.,03.03.2022 19:28:59,Nicht empfohlen,100.0,Ja,Nein,Nein,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,[  101  8040 25438  8490  2693  2006  8561  2099  1012   102],19
Ukraine-Russia-Support,91992396,Cyberpunk 2077,"Overall they fixed a lot the main issues that plagued this game from the start. It's playable now and on a 3070 I can play the game maxed out with RTX also maxed out at 30 stable with DLSS on balanced. Overall an amazing game. The story is interesting and has a fun open world to explore. I will break this game down into two sections, Pros and Cons.

Pros:
- Amazing graphics 
- Amazing sound
- Great Story(I will touch on this in the con sections)
- Tons of cool weapons and great selection of ways to massacre your enemies
- Amazing Perk and Skill trees

Cons: 
- Ending feels kinda rushed
- Enemy factions don't have a role at all in free roam 
- Limited number of side missions that are fun
- Story is short only around 20 hours
- Cars feel more like tanks 
- Dialog for NCPs is limited
- No real end goal other than to beat story

Overall I would say get this game when it's on sale. I do hope they add some sort of DLC to the game to add more to the story as its kinda lack luster right now. But pretty fun game with a lot of potential.",07.03.2022 17:36:27,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101  3452  2027  4964  1037  2843  1996  2364  3314  2008 17808  2023
  2208  2013  1996  2707  1012  2009  1005  1055 16854  2085  1998  2006
  1037 24559  2692  1045  2064  2377  1996  2208  4098  2098  2041  2007
 19387  2595  2036  4098  2098  2041  2012  2382  6540  2007 21469  4757
  2006 12042  1012  3452  2019  6429  2208  1012  1996  2466  2003  5875
  1998  2038  1037  4569  2330  2088  2000  8849  1012  1045  2097  3338
  2023  2208  2091  2046  2048  5433  1010  4013  2015  1998  9530  2015
  1012  4013  2015  1024  1011  6429  8389  1011  6429  2614  1011  2307
  2466  1006  1045  2097  3543  2006  2023  1999  1996  9530  5433  1007
  1011  6197  1997  4658  4255  1998  2307  4989  1997  3971  2000  9288
  2115  6716  1011  6429  2566  2243  1998  8066  3628  9530  2015  1024
  1011  4566  5683 17704  6760  1011  4099 13815  2123  1005  1056  2031
  1037  2535  2012  2035  1999  2489 25728  1011  3132  2193  1997  2217
  6416  2008  2024  4569  1011  2466  2003  2460  2069  2105  2322  2847
  1011  3765  2514  2062  2066  7286  1011 13764  8649  2005 13316  4523
  2003  3132  1011  2053  2613  2203  3125  2060  2084  2000  3786  2466
  3452  1045  2052  2360  2131  2023  2208  2043  2009  1005  1055  2006
  5096  1012  1045  2079  3246  2027  5587  2070  4066  1997 21469  2278
  2000  1996  2208  2000  5587  2062  2000  1996  2466  2004  2049 17704
  3768 11516  2121  2157  2085  1012  2021  3492  4569  2208  2007  1037
  2843  1997  4022  1012   102]",476
Ukraine-Russia-Support,91992397,The Witcher 3: Wild Hunt,The best of the best :),03.03.2022 18:27:23,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,[ 101 1996 2190 1997 1996 2190 1024 1007  102],9
